nombre,genero,fuente,ultimo_caracter,,
SANDRA ISABEL,FEMENINO,TUNJA,L,,
ANYULL,FEMENINO,TUNJA,L,,
ADRIANA MARIBEL,FEMENINO,TUNJA,L,,
ANA ISABEL,FEMENINO,TUNJA,L,,
YICEL,FEMENINO,TUNJA,L,,
YUDY FABIOL,FEMENINO,TUNJA,L,,
NANCY RAQUEL,FEMENINO,TUNJA,L,,
ANA ISABEL,FEMENINO,TUNJA,L,,
LUZ MYRIAM,FEMENINO,TUNJA,M,,
MIRYAM,FEMENINO,TUNJA,M,,
LUZ MYRIAM,FEMENINO,TUNJA,M,,
CLARA NIDIAN,FEMENINO,TUNJA,N,,
LUZ MIRIAN,FEMENINO,TUNJA,N,,
DIASMIN,FEMENINO,TUNJA,N,,
MARIA DEL CARMEN,FEMENINO,TUNJA,N,,
DORIS MARLEN,FEMENINO,TUNJA,N,,
TANIA YAZMIN,FEMENINO,TUNJA,N,,
LIX CATERIN,FEMENINO,TUNJA,N,,
AMALYN,FEMENINO,TUNJA,N,,
ANDREA CATERIN,FEMENINO,TUNJA,N,,
ALCIRA MARLEN,FEMENINO,TUNJA,N,,
